Dataset: /home/uchinosub/git/MyResearches.ImageToText/output/image-orig/
k: 5, loop: 300
Number of classes: 10
Number of dics: 10
Number of test data: 100
Number of learning data: 890
~~~~~~~~~~~~~~~~~~~~正解率~~~~~~~~~~~~~~~~~~
| ~回目 | PRDC |  PAIR_MULTIPLE | PAIR_MULTIPLE_LOG | RECOMPRESSION |
| 92回目 | 0.54 | 0.64 | 0.62 | 0.55 | 
| 93回目 | 0.65 | 0.72 | 0.68 | 0.67 | 
| 94回目 | 0.61 | 0.75 | 0.69 | 0.68 | 
| 95回目 | 0.68 | 0.73 | 0.77 | 0.76 | 
| 96回目 | 0.65 | 0.68 | 0.67 | 0.69 | 
| 97回目 | 0.63 | 0.68 | 0.73 | 0.62 | 
| 98回目 | 0.66 | 0.72 | 0.68 | 0.64 | 
| 99回目 | 0.63 | 0.63 | 0.65 | 0.68 | 
| 100回目 | 0.65 | 0.68 | 0.61 | 0.66 | 
| 101回目 | 0.56 | 0.75 | 0.66 | 0.74 | 
| 102回目 | 0.6 | 0.75 | 0.7 | 0.68 | 
| 103回目 | 0.63 | 0.74 | 0.74 | 0.72 | 
| 104回目 | 0.61 | 0.71 | 0.7 | 0.7 | 
| 105回目 | 0.69 | 0.77 | 0.8 | 0.72 | 
| 106回目 | 0.64 | 0.7 | 0.71 | 0.74 | 
| 107回目 | 0.56 | 0.75 | 0.7 | 0.73 | 
| 108回目 | 0.61 | 0.69 | 0.67 | 0.64 | 
| 109回目 | 0.62 | 0.68 | 0.67 | 0.66 | 
| 110回目 | 0.63 | 0.67 | 0.74 | 0.75 | 
| 111回目 | 0.67 | 0.68 | 0.78 | 0.65 | 
| 112回目 | 0.66 | 0.72 | 0.72 | 0.7 | 
| 113回目 | 0.67 | 0.68 | 0.66 | 0.68 | 
| 114回目 | 0.65 | 0.62 | 0.66 | 0.66 | 
| 115回目 | 0.59 | 0.63 | 0.66 | 0.61 | 
| 116回目 | 0.54 | 0.62 | 0.64 | 0.62 | 
| 117回目 | 0.67 | 0.69 | 0.74 | 0.73 | 
