k: 5, loop: 500
Number of dics: 10
Number of test data: 100
Number of learning data: 890
~~~~~~~~~~~~~~~~~~~~正解率~~~~~~~~~~~~~~~~~~
| ~回目 | PRDC |  PAIR_MULTIPLE | RECOMPRESSION |
| 115回目 | 0.61 | 0.67 | 0.6 | 
| 116回目 | 0.72 | 0.7 | 0.72 | 
| 117回目 | 0.66 | 0.6 | 0.57 | 
| 118回目 | 0.62 | 0.6 | 0.6 | 
| 119回目 | 0.58 | 0.66 | 0.59 | 
| 120回目 | 0.63 | 0.62 | 0.68 | 
| 121回目 | 0.68 | 0.72 | 0.62 | 
| 122回目 | 0.66 | 0.63 | 0.63 | 
| 123回目 | 0.61 | 0.71 | 0.65 | 
| 124回目 | 0.66 | 0.66 | 0.64 | 
| 125回目 | 0.67 | 0.64 | 0.77 | 
| 126回目 | 0.65 | 0.6 | 0.55 | 
| 127回目 | 0.66 | 0.66 | 0.61 | 
| 128回目 | 0.54 | 0.6 | 0.58 | 
| 129回目 | 0.53 | 0.47 | 0.43 | 
| 130回目 | 0.65 | 0.66 | 0.67 | 
| 131回目 | 0.61 | 0.59 | 0.65 | 
| 132回目 | 0.66 | 0.63 | 0.57 | 
| 133回目 | 0.74 | 0.63 | 0.67 | 
| 134回目 | 0.62 | 0.66 | 0.63 | 
| 135回目 | 0.6 | 0.55 | 0.54 | 
| 136回目 | 0.56 | 0.64 | 0.61 | 
| 137回目 | 0.58 | 0.7 | 0.6 | 
| 138回目 | 0.64 | 0.7 | 0.65 | 
| 139回目 | 0.68 | 0.65 | 0.65 | 
| 140回目 | 0.67 | 0.69 | 0.64 | 
| 141回目 | 0.66 | 0.72 | 0.69 | 
| 142回目 | 0.66 | 0.64 | 0.61 | 
| 143回目 | 0.67 | 0.65 | 0.68 | 
| 144回目 | 0.68 | 0.65 | 0.62 | 
| 145回目 | 0.67 | 0.71 | 0.58 | 
| 146回目 | 0.52 | 0.54 | 0.49 | 
| 147回目 | 0.63 | 0.6 | 0.54 | 
| 148回目 | 0.65 | 0.58 | 0.6 | 
| 149回目 | 0.57 | 0.58 | 0.57 | 
| 150回目 | 0.58 | 0.54 | 0.59 | 
| 151回目 | 0.65 | 0.67 | 0.65 | 
| 152回目 | 0.7 | 0.67 | 0.63 | 
| 153回目 | 0.62 | 0.67 | 0.61 | 
| 154回目 | 0.65 | 0.74 | 0.67 | 
| 155回目 | 0.64 | 0.66 | 0.57 | 
| 156回目 | 0.6 | 0.62 | 0.59 | 
| 157回目 | 0.64 | 0.61 | 0.65 | 
| 158回目 | 0.7 | 0.69 | 0.68 | 
| 159回目 | 0.69 | 0.66 | 0.53 | 
| 160回目 | 0.7 | 0.7 | 0.69 | 
| 161回目 | 0.62 | 0.66 | 0.64 | 
| 162回目 | 0.58 | 0.58 | 0.59 | 
| 163回目 | 0.62 | 0.55 | 0.65 | 
| 164回目 | 0.58 | 0.63 | 0.55 | 
| 165回目 | 0.69 | 0.61 | 0.62 | 
| 166回目 | 0.67 | 0.67 | 0.66 | 
| 167回目 | 0.61 | 0.63 | 0.62 | 
| 168回目 | 0.67 | 0.62 | 0.64 | 
| 169回目 | 0.64 | 0.74 | 0.64 | 
| 170回目 | 0.57 | 0.62 | 0.6 | 
| 171回目 | 0.71 | 0.66 | 0.67 | 
| 172回目 | 0.57 | 0.64 | 0.61 | 
| 173回目 | 0.61 | 0.68 | 0.62 | 
| 174回目 | 0.69 | 0.62 | 0.61 | 
| 175回目 | 0.65 | 0.7 | 0.69 | 
| 176回目 | 0.57 | 0.71 | 0.66 | 
| 177回目 | 0.6 | 0.64 | 0.57 | 
| 178回目 | 0.63 | 0.72 | 0.7 | 
| 179回目 | 0.59 | 0.61 | 0.57 | 
| 180回目 | 0.74 | 0.71 | 0.73 | 
| 181回目 | 0.67 | 0.62 | 0.57 | 
| 182回目 | 0.61 | 0.52 | 0.49 | 
| 183回目 | 0.69 | 0.69 | 0.61 | 
| 184回目 | 0.69 | 0.67 | 0.64 | 
| 185回目 | 0.64 | 0.53 | 0.59 | 
| 186回目 | 0.59 | 0.64 | 0.59 | 
| 187回目 | 0.66 | 0.69 | 0.56 | 
| 188回目 | 0.66 | 0.69 | 0.61 | 
| 189回目 | 0.63 | 0.68 | 0.67 | 
| 190回目 | 0.59 | 0.56 | 0.58 | 
| 191回目 | 0.61 | 0.57 | 0.62 | 
| 192回目 | 0.68 | 0.7 | 0.65 | 
| 193回目 | 0.74 | 0.66 | 0.75 | 
| 194回目 | 0.7 | 0.75 | 0.69 | 
| 195回目 | 0.63 | 0.61 | 0.62 | 
| 196回目 | 0.62 | 0.61 | 0.58 | 
| 197回目 | 0.7 | 0.74 | 0.72 | 
| 198回目 | 0.73 | 0.71 | 0.71 | 
| 199回目 | 0.75 | 0.71 | 0.68 | 
| 200回目 | 0.66 | 0.65 | 0.69 | 
| 201回目 | 0.66 | 0.64 | 0.61 | 
| 202回目 | 0.66 | 0.6 | 0.62 | 
| 203回目 | 0.54 | 0.53 | 0.57 | 
| 204回目 | 0.66 | 0.65 | 0.63 | 
| 205回目 | 0.63 | 0.67 | 0.68 | 
| 206回目 | 0.68 | 0.71 | 0.69 | 
| 207回目 | 0.61 | 0.59 | 0.52 | 
| 208回目 | 0.68 | 0.71 | 0.71 | 
| 209回目 | 0.62 | 0.64 | 0.58 | 
| 210回目 | 0.7 | 0.66 | 0.61 | 
| 211回目 | 0.61 | 0.59 | 0.58 | 
| 212回目 | 0.67 | 0.63 | 0.6 | 
| 213回目 | 0.63 | 0.58 | 0.59 | 
| 214回目 | 0.72 | 0.73 | 0.73 | 
| 215回目 | 0.69 | 0.71 | 0.69 | 
| 216回目 | 0.57 | 0.65 | 0.63 | 
| 217回目 | 0.68 | 0.66 | 0.7 | 
| 218回目 | 0.66 | 0.59 | 0.6 | 
| 219回目 | 0.63 | 0.55 | 0.59 | 
| 220回目 | 0.68 | 0.7 | 0.66 | 
| 221回目 | 0.62 | 0.65 | 0.62 | 
| 222回目 | 0.61 | 0.62 | 0.62 | 
| 223回目 | 0.7 | 0.67 | 0.66 | 
| 224回目 | 0.66 | 0.58 | 0.58 | 
| 225回目 | 0.6 | 0.65 | 0.57 | 
| 226回目 | 0.66 | 0.69 | 0.58 | 
| 227回目 | 0.71 | 0.64 | 0.61 | 
| 228回目 | 0.6 | 0.61 | 0.62 | 
| 229回目 | 0.74 | 0.77 | 0.75 | 
| 230回目 | 0.62 | 0.6 | 0.63 | 
| 231回目 | 0.66 | 0.67 | 0.63 | 
| 232回目 | 0.65 | 0.55 | 0.56 | 
| 233回目 | 0.7 | 0.72 | 0.73 | 
| 234回目 | 0.6 | 0.63 | 0.56 | 
| 235回目 | 0.64 | 0.67 | 0.62 | 
| 236回目 | 0.65 | 0.67 | 0.68 | 
| 237回目 | 0.64 | 0.64 | 0.67 | 
| 238回目 | 0.72 | 0.72 | 0.71 | 
| 239回目 | 0.7 | 0.7 | 0.67 | 
| 240回目 | 0.66 | 0.67 | 0.54 | 
| 241回目 | 0.67 | 0.66 | 0.66 | 
| 242回目 | 0.7 | 0.73 | 0.66 | 
| 243回目 | 0.58 | 0.54 | 0.54 | 
| 244回目 | 0.7 | 0.62 | 0.64 | 
| 245回目 | 0.67 | 0.62 | 0.66 | 
| 246回目 | 0.64 | 0.59 | 0.62 | 
| 247回目 | 0.6 | 0.6 | 0.63 | 
| 248回目 | 0.68 | 0.73 | 0.72 | 
| 249回目 | 0.58 | 0.61 | 0.51 | 
| 250回目 | 0.61 | 0.67 | 0.62 | 
| 251回目 | 0.58 | 0.63 | 0.56 | 
| 252回目 | 0.71 | 0.62 | 0.59 | 
| 253回目 | 0.58 | 0.63 | 0.58 | 
| 254回目 | 0.66 | 0.78 | 0.69 | 
| 255回目 | 0.71 | 0.68 | 0.61 | 
| 256回目 | 0.63 | 0.68 | 0.61 | 
| 257回目 | 0.66 | 0.58 | 0.62 | 
| 258回目 | 0.64 | 0.63 | 0.6 | 
| 259回目 | 0.6 | 0.69 | 0.6 | 
| 260回目 | 0.59 | 0.66 | 0.63 | 
| 261回目 | 0.66 | 0.7 | 0.7 | 
| 262回目 | 0.63 | 0.64 | 0.61 | 
| 263回目 | 0.63 | 0.68 | 0.63 | 
| 264回目 | 0.65 | 0.66 | 0.53 | 
| 265回目 | 0.58 | 0.55 | 0.58 | 
| 266回目 | 0.72 | 0.76 | 0.7 | 
| 267回目 | 0.69 | 0.62 | 0.63 | 
| 268回目 | 0.65 | 0.67 | 0.69 | 
| 269回目 | 0.62 | 0.68 | 0.65 | 
| 270回目 | 0.61 | 0.66 | 0.61 | 
| 271回目 | 0.57 | 0.66 | 0.66 | 
| 272回目 | 0.67 | 0.71 | 0.69 | 
| 273回目 | 0.55 | 0.59 | 0.63 | 
| 274回目 | 0.58 | 0.55 | 0.49 | 
| 275回目 | 0.59 | 0.61 | 0.67 | 
| 276回目 | 0.58 | 0.58 | 0.54 | 
| 277回目 | 0.66 | 0.65 | 0.63 | 
| 278回目 | 0.73 | 0.79 | 0.76 | 
| 279回目 | 0.54 | 0.6 | 0.62 | 
| 280回目 | 0.6 | 0.65 | 0.64 | 
| 281回目 | 0.58 | 0.6 | 0.54 | 
| 282回目 | 0.68 | 0.62 | 0.58 | 
| 283回目 | 0.68 | 0.63 | 0.68 | 
| 284回目 | 0.7 | 0.6 | 0.63 | 
| 285回目 | 0.72 | 0.68 | 0.64 | 
| 286回目 | 0.7 | 0.65 | 0.58 | 
| 287回目 | 0.66 | 0.65 | 0.62 | 
| 288回目 | 0.66 | 0.64 | 0.62 | 
| 289回目 | 0.65 | 0.7 | 0.57 | 
| 290回目 | 0.69 | 0.63 | 0.57 | 
| 291回目 | 0.61 | 0.64 | 0.65 | 
| 292回目 | 0.66 | 0.64 | 0.69 | 
| 293回目 | 0.66 | 0.61 | 0.64 | 
| 294回目 | 0.66 | 0.66 | 0.61 | 
| 295回目 | 0.67 | 0.54 | 0.55 | 
| 296回目 | 0.62 | 0.57 | 0.62 | 
| 297回目 | 0.62 | 0.61 | 0.64 | 
| 298回目 | 0.68 | 0.72 | 0.72 | 
| 299回目 | 0.58 | 0.57 | 0.55 | 
| 300回目 | 0.64 | 0.56 | 0.65 | 
| 301回目 | 0.68 | 0.71 | 0.62 | 
| 302回目 | 0.71 | 0.69 | 0.67 | 
| 303回目 | 0.7 | 0.62 | 0.67 | 
| 304回目 | 0.59 | 0.6 | 0.6 | 
| 305回目 | 0.54 | 0.6 | 0.62 | 
| 306回目 | 0.62 | 0.7 | 0.67 | 
| 307回目 | 0.64 | 0.65 | 0.55 | 
| 308回目 | 0.55 | 0.57 | 0.55 | 
| 309回目 | 0.66 | 0.67 | 0.64 | 
| 310回目 | 0.72 | 0.69 | 0.75 | 
| 311回目 | 0.64 | 0.66 | 0.57 | 
| 312回目 | 0.7 | 0.55 | 0.56 | 
| 313回目 | 0.67 | 0.64 | 0.7 | 
| 314回目 | 0.61 | 0.59 | 0.66 | 
| 315回目 | 0.54 | 0.58 | 0.61 | 
| 316回目 | 0.61 | 0.63 | 0.59 | 
| 317回目 | 0.7 | 0.62 | 0.65 | 
| 318回目 | 0.64 | 0.67 | 0.65 | 
| 319回目 | 0.64 | 0.64 | 0.55 | 
| 320回目 | 0.66 | 0.63 | 0.52 | 
| 321回目 | 0.6 | 0.63 | 0.57 | 
| 322回目 | 0.71 | 0.61 | 0.61 | 
| 323回目 | 0.7 | 0.67 | 0.68 | 
| 324回目 | 0.56 | 0.66 | 0.6 | 
| 325回目 | 0.6 | 0.62 | 0.54 | 
| 326回目 | 0.7 | 0.69 | 0.72 | 
| 327回目 | 0.7 | 0.7 | 0.65 | 
| 328回目 | 0.6 | 0.6 | 0.66 | 
| 329回目 | 0.74 | 0.7 | 0.67 | 
| 330回目 | 0.69 | 0.79 | 0.7 | 
| 331回目 | 0.69 | 0.7 | 0.63 | 
| 332回目 | 0.62 | 0.63 | 0.68 | 
| 333回目 | 0.56 | 0.63 | 0.59 | 
| 334回目 | 0.67 | 0.72 | 0.71 | 
| 335回目 | 0.66 | 0.64 | 0.56 | 
| 336回目 | 0.72 | 0.74 | 0.67 | 
| 337回目 | 0.57 | 0.66 | 0.64 | 
| 338回目 | 0.7 | 0.64 | 0.64 | 
| 339回目 | 0.7 | 0.75 | 0.72 | 
| 340回目 | 0.7 | 0.69 | 0.67 | 
| 341回目 | 0.62 | 0.61 | 0.53 | 
| 342回目 | 0.71 | 0.75 | 0.69 | 
| 343回目 | 0.69 | 0.7 | 0.8 | 
| 344回目 | 0.7 | 0.65 | 0.67 | 
| 345回目 | 0.68 | 0.65 | 0.6 | 
| 346回目 | 0.71 | 0.58 | 0.67 | 
| 347回目 | 0.7 | 0.67 | 0.76 | 
| 348回目 | 0.67 | 0.73 | 0.67 | 
| 349回目 | 0.56 | 0.59 | 0.56 | 
| 350回目 | 0.71 | 0.65 | 0.67 | 
| 351回目 | 0.6 | 0.65 | 0.64 | 
| 352回目 | 0.58 | 0.57 | 0.57 | 
| 353回目 | 0.61 | 0.69 | 0.63 | 
| 354回目 | 0.63 | 0.66 | 0.6 | 
| 355回目 | 0.65 | 0.53 | 0.56 | 
| 356回目 | 0.64 | 0.6 | 0.6 | 
| 357回目 | 0.59 | 0.59 | 0.66 | 
| 358回目 | 0.67 | 0.61 | 0.58 | 
| 359回目 | 0.61 | 0.6 | 0.58 | 
| 360回目 | 0.65 | 0.64 | 0.57 | 
| 361回目 | 0.68 | 0.66 | 0.59 | 
| 362回目 | 0.69 | 0.69 | 0.72 | 
| 363回目 | 0.63 | 0.64 | 0.65 | 
| 364回目 | 0.57 | 0.61 | 0.64 | 
| 365回目 | 0.67 | 0.64 | 0.61 | 
| 366回目 | 0.61 | 0.62 | 0.56 | 
| 367回目 | 0.57 | 0.61 | 0.64 | 
| 368回目 | 0.61 | 0.54 | 0.58 | 
| 369回目 | 0.61 | 0.59 | 0.61 | 
| 370回目 | 0.63 | 0.56 | 0.6 | 
| 371回目 | 0.62 | 0.56 | 0.59 | 
| 372回目 | 0.69 | 0.67 | 0.68 | 
| 373回目 | 0.7 | 0.66 | 0.65 | 
| 374回目 | 0.61 | 0.62 | 0.64 | 
| 375回目 | 0.62 | 0.65 | 0.56 | 
| 376回目 | 0.72 | 0.74 | 0.7 | 
| 377回目 | 0.59 | 0.6 | 0.59 | 
| 378回目 | 0.64 | 0.66 | 0.61 | 
| 379回目 | 0.66 | 0.61 | 0.58 | 
| 380回目 | 0.65 | 0.57 | 0.61 | 
| 381回目 | 0.58 | 0.61 | 0.59 | 
| 382回目 | 0.62 | 0.65 | 0.58 | 
| 383回目 | 0.71 | 0.65 | 0.63 | 
| 384回目 | 0.69 | 0.69 | 0.69 | 
| 385回目 | 0.61 | 0.66 | 0.6 | 
| 386回目 | 0.59 | 0.59 | 0.55 | 
| 387回目 | 0.73 | 0.75 | 0.68 | 
| 388回目 | 0.72 | 0.66 | 0.69 | 
| 389回目 | 0.72 | 0.69 | 0.69 | 
| 390回目 | 0.67 | 0.7 | 0.62 | 
| 391回目 | 0.69 | 0.76 | 0.71 | 
| 392回目 | 0.67 | 0.69 | 0.66 | 
| 393回目 | 0.66 | 0.62 | 0.66 | 
| 394回目 | 0.63 | 0.62 | 0.68 | 
| 395回目 | 0.68 | 0.66 | 0.65 | 
| 396回目 | 0.58 | 0.57 | 0.5 | 
| 397回目 | 0.68 | 0.64 | 0.65 | 
| 398回目 | 0.64 | 0.63 | 0.62 | 
| 399回目 | 0.56 | 0.61 | 0.6 | 
| 400回目 | 0.65 | 0.65 | 0.68 | 
| 401回目 | 0.68 | 0.67 | 0.62 | 
| 402回目 | 0.53 | 0.56 | 0.58 | 
| 403回目 | 0.64 | 0.63 | 0.66 | 
| 404回目 | 0.62 | 0.61 | 0.66 | 
| 405回目 | 0.69 | 0.63 | 0.67 | 
| 406回目 | 0.63 | 0.62 | 0.6 | 
| 407回目 | 0.57 | 0.56 | 0.57 | 
| 408回目 | 0.61 | 0.75 | 0.65 | 
| 409回目 | 0.6 | 0.64 | 0.61 | 
| 410回目 | 0.7 | 0.64 | 0.57 | 
| 411回目 | 0.61 | 0.71 | 0.7 | 
| 412回目 | 0.7 | 0.72 | 0.67 | 
| 413回目 | 0.6 | 0.63 | 0.6 | 
| 414回目 | 0.6 | 0.63 | 0.62 | 
| 415回目 | 0.76 | 0.67 | 0.69 | 
| 416回目 | 0.68 | 0.59 | 0.65 | 
| 417回目 | 0.62 | 0.67 | 0.53 | 
| 418回目 | 0.62 | 0.63 | 0.65 | 
| 419回目 | 0.61 | 0.62 | 0.56 | 
| 420回目 | 0.6 | 0.57 | 0.65 | 
| 421回目 | 0.52 | 0.52 | 0.55 | 
| 422回目 | 0.59 | 0.67 | 0.56 | 
| 423回目 | 0.61 | 0.62 | 0.7 | 
| 424回目 | 0.67 | 0.59 | 0.65 | 
| 425回目 | 0.6 | 0.67 | 0.65 | 
| 426回目 | 0.65 | 0.72 | 0.71 | 
| 427回目 | 0.73 | 0.63 | 0.61 | 
| 428回目 | 0.66 | 0.64 | 0.63 | 
| 429回目 | 0.68 | 0.61 | 0.62 | 
| 430回目 | 0.62 | 0.64 | 0.58 | 
| 431回目 | 0.54 | 0.53 | 0.55 | 
| 432回目 | 0.58 | 0.59 | 0.61 | 
| 433回目 | 0.64 | 0.66 | 0.69 | 
| 434回目 | 0.65 | 0.7 | 0.69 | 
| 435回目 | 0.74 | 0.69 | 0.67 | 
| 436回目 | 0.59 | 0.69 | 0.59 | 
| 437回目 | 0.67 | 0.64 | 0.67 | 
| 438回目 | 0.59 | 0.7 | 0.67 | 
| 439回目 | 0.62 | 0.68 | 0.59 | 
| 440回目 | 0.67 | 0.66 | 0.66 | 
| 441回目 | 0.64 | 0.72 | 0.59 | 
| 442回目 | 0.76 | 0.68 | 0.71 | 
| 443回目 | 0.69 | 0.6 | 0.55 | 
| 444回目 | 0.72 | 0.71 | 0.71 | 
| 445回目 | 0.66 | 0.73 | 0.64 | 
| 446回目 | 0.59 | 0.66 | 0.55 | 
| 447回目 | 0.71 | 0.69 | 0.74 | 
| 448回目 | 0.63 | 0.59 | 0.66 | 
| 449回目 | 0.67 | 0.74 | 0.65 | 
| 450回目 | 0.65 | 0.64 | 0.59 | 
| 451回目 | 0.64 | 0.62 | 0.61 | 
| 452回目 | 0.66 | 0.65 | 0.64 | 
| 453回目 | 0.55 | 0.63 | 0.6 | 
| 454回目 | 0.57 | 0.66 | 0.62 | 
| 455回目 | 0.77 | 0.63 | 0.66 | 
| 456回目 | 0.72 | 0.66 | 0.72 | 
| 457回目 | 0.7 | 0.67 | 0.73 | 
| 458回目 | 0.59 | 0.62 | 0.63 | 
| 459回目 | 0.64 | 0.6 | 0.72 | 
| 460回目 | 0.58 | 0.67 | 0.54 | 
| 461回目 | 0.67 | 0.61 | 0.65 | 
| 462回目 | 0.59 | 0.61 | 0.67 | 
| 463回目 | 0.64 | 0.68 | 0.6 | 
| 464回目 | 0.6 | 0.6 | 0.6 | 
| 465回目 | 0.65 | 0.69 | 0.61 | 
| 466回目 | 0.56 | 0.52 | 0.59 | 
| 467回目 | 0.52 | 0.6 | 0.55 | 
| 468回目 | 0.58 | 0.61 | 0.6 | 
| 469回目 | 0.64 | 0.67 | 0.56 | 
| 470回目 | 0.57 | 0.54 | 0.58 | 
| 471回目 | 0.55 | 0.55 | 0.59 | 
| 472回目 | 0.61 | 0.64 | 0.65 | 
| 473回目 | 0.67 | 0.64 | 0.62 | 
| 474回目 | 0.7 | 0.67 | 0.62 | 
| 475回目 | 0.65 | 0.66 | 0.63 | 
| 476回目 | 0.65 | 0.61 | 0.63 | 
| 477回目 | 0.64 | 0.71 | 0.65 | 
| 478回目 | 0.64 | 0.63 | 0.67 | 
| 479回目 | 0.74 | 0.73 | 0.64 | 
| 480回目 | 0.7 | 0.68 | 0.67 | 
| 481回目 | 0.64 | 0.63 | 0.61 | 
| 482回目 | 0.63 | 0.63 | 0.61 | 
| 483回目 | 0.57 | 0.66 | 0.62 | 
| 484回目 | 0.66 | 0.72 | 0.68 | 
| 485回目 | 0.66 | 0.57 | 0.54 | 
| 486回目 | 0.66 | 0.61 | 0.52 | 
| 487回目 | 0.57 | 0.67 | 0.61 | 
| 488回目 | 0.66 | 0.66 | 0.62 | 
| 489回目 | 0.6 | 0.62 | 0.64 | 
| 490回目 | 0.7 | 0.75 | 0.74 | 
| 491回目 | 0.58 | 0.64 | 0.6 | 
| 492回目 | 0.61 | 0.61 | 0.56 | 
| 493回目 | 0.63 | 0.61 | 0.63 | 
| 494回目 | 0.6 | 0.73 | 0.76 | 
| 495回目 | 0.61 | 0.7 | 0.7 | 
| 496回目 | 0.64 | 0.65 | 0.62 | 
| 497回目 | 0.66 | 0.65 | 0.67 | 
| 498回目 | 0.64 | 0.68 | 0.7 | 
| 499回目 | 0.63 | 0.65 | 0.67 | 
| 500回目 | 0.66 | 0.67 | 0.65 | 
PRDC 平均正解率: 0.64158
PAIR_MULTIPLE 平均精度上昇率: 0.00208
RECOMPRESSION 平均精度上昇率: -0.01648
処理時間:35889秒

